full_name,age,positions,nationality,overall_rating,potential,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,national_team,national_team_position,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,current_age
Paulo Bruno Exequiel Dybala,25,"CAM,RW",Argentina,89,94,Left,3,3,4,Medium/ Medium,Normal,Argentina,LF,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8,"#Dribbler,#Playmaker  ,#FK Specialist,#Acrobat,#Complete Midfielder","Avoids Using Weaker Foot,Finesse Shot,Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only),Set Play Specialist,Takes Finesse Free Kicks",83+3,83+3,83+3,87+3,86+3,86+3,86+3,87+3,87+3,87+3,87+3,86+3,79+3,79+3,79+3,86+3,62+3,58+3,58+3,58+3,62+3,56+3,45+3,45+3,45+3,56+3,31
Jordi Alba Ramos,29,LB,Spain,87,87,Left,3,3,3,High/ Medium,Normal,Spain,LB,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,77,84,80,76,59,82,74,84,84,13,15,13,6,13,"#Speedster,#Crosser,#Acrobat",Beat Offside Trap,76+3,76+3,76+3,82+3,79+3,79+3,79+3,82+3,80+3,80+3,80+3,83+3,80+3,80+3,80+3,83+3,85+3,80+3,80+3,80+3,85+3,84+3,78+3,78+3,78+3,84+3,35
Thiago Alcântara do Nascimento,27,"CM,CAM,CDM",Spain,87,87,Right,3,3,5,Medium/ Medium,Normal,Spain,SUB,72,69,54,90,90,90,85,77,87,90,78,69,90,86,86,76,75,75,59,79,56,78,79,86,75,85,67,67,71,6,11,7,9,13,"#Dribbler,#Playmaker  ,#Acrobat,#Complete Midfielder","Injury Prone,Dives Into Tackles (CPU AI Only),Flair,Technical Dribbler (CPU AI Only),Takes Finesse Free Kicks",76+3,76+3,76+3,82+3,82+3,82+3,82+3,82+3,84+3,84+3,84+3,82+3,84+3,84+3,84+3,82+3,77+3,77+3,77+3,77+3,77+3,74+3,69+3,69+3,69+3,74+3,33
Ciro Immobile,29,ST,Italy,87,87,Right,3,4,3,High/ Medium,Normal,Italy,ST,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,#Clinical Finisher,Beat Offside Trap,84+3,84+3,84+3,79+3,82+3,82+3,82+3,79+3,78+3,78+3,78+3,77+3,70+3,70+3,70+3,77+3,60+3,58+3,58+3,58+3,60+3,58+3,55+3,55+3,55+3,58+3,35
Francisco Román Alarcón Suárez,26,"CAM,CM,LW",Spain,87,90,Right,3,3,4,High/ Medium,Normal,Spain,LW,75,79,55,86,65,94,88,76,81,95,75,69,87,77,90,69,64,70,59,85,58,64,78,86,76,86,60,64,51,10,8,12,15,6,"#Dribbler,#Playmaker  ,#Complete Midfielder","Selfish,Finesse Shot,Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",76+3,76+3,76+3,83+3,82+3,82+3,82+3,83+3,85+3,85+3,85+3,82+3,82+3,82+3,82+3,82+3,71+3,72+3,72+3,72+3,71+3,68+3,63+3,63+3,63+3,68+3,32
James David Rodríguez Rubio,27,"CAM,CM,RM",Colombia,87,88,Left,4,3,4,Medium/ Medium,Normal,Colombia,LAM,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,88,81,87,52,41,44,15,15,15,5,14,"#Playmaker  ,#Distance Shooter,#Crosser,#FK Specialist,#Complete Midfielder","Avoids Using Weaker Foot,Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only),Set Play Specialist",80+3,80+3,80+3,84+3,83+3,83+3,83+3,84+3,85+3,85+3,85+3,83+3,81+3,81+3,81+3,83+3,69+3,68+3,68+3,68+3,69+3,65+3,58+3,58+3,58+3,65+3,33
Carlos Henrique Venancio Casimiro,27,CDM,Brazil,87,89,Right,3,3,2,Medium/ High,Normal,,,58,64,76,83,61,69,63,74,82,78,61,66,62,86,66,86,88,87,89,81,89,86,69,77,66,84,84,87,86,13,14,16,12,12,"#Tackling ,#Tactician ,#Strength,#Complete Defender","Power Free-Kick,Dives Into Tackles (CPU AI Only),Long Shot Taker (CPU AI Only)",74+3,74+3,74+3,71+3,74+3,74+3,74+3,71+3,75+3,75+3,75+3,72+3,79+3,79+3,79+3,72+3,78+3,84+3,84+3,84+3,78+3,79+3,84+3,84+3,84+3,79+3,33
Mauro Emanuel Icardi Rivero,26,ST,Argentina,87,90,Right,3,4,3,Medium/ Low,Normal,Argentina,ST,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,69,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9,"#Poacher,#Aerial Threat,#Complete Forward","Injury Free,Power Header",84+3,84+3,84+3,76+3,81+3,81+3,81+3,76+3,76+3,76+3,76+3,74+3,68+3,68+3,68+3,74+3,53+3,53+3,53+3,53+3,53+3,52+3,51+3,51+3,51+3,52+3,32
Kepa Arrizabalaga,24,GK,Spain,84,90,Right,1,4,1,Medium/ Medium,Lean,Spain,SUB,25,11,17,32,18,10,25,19,36,16,34,33,41,79,39,25,71,37,51,14,18,21,15,55,24,63,19,18,16,84,82,79,80,85,,"GK Long Throw,Comes For Crosses,Saves with Feet",,,,,,,,,,,,,,,,,,,,,,,,,,,30
Hakim Ziyech,25,"CAM,RW",Morocco,84,86,Left,3,2,4,High/ High,Lean,,,84,68,53,86,77,84,90,78,89,83,76,74,86,83,78,80,38,86,59,76,72,62,76,88,72,83,52,66,36,11,7,11,8,14,"#Playmaker  ,#Engine,#Acrobat,#Complete Midfielder","Flair,Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only),Set Play Specialist,Takes Finesse Free Kicks",74+3,74+3,74+3,80+3,79+3,79+3,79+3,80+3,82+3,82+3,82+3,81+3,82+3,82+3,82+3,81+3,71+3,72+3,72+3,72+3,71+3,67+3,60+3,60+3,60+3,67+3,31
Fábio Henrique Tavares,25,CDM,Brazil,84,88,Right,3,2,3,Medium/ High,Lean,,,79,66,75,83,47,76,71,53,80,82,69,72,69,83,67,78,75,92,79,65,85,84,70,77,91,84,84,86,84,13,12,6,8,8,,"Injury Free,Long Passer (CPU AI Only)",73+3,73+3,73+3,75+3,75+3,75+3,75+3,75+3,76+3,76+3,76+3,77+3,80+3,80+3,80+3,77+3,82+3,83+3,83+3,83+3,82+3,82+3,82+3,82+3,82+3,82+3,31
Anthony Martial,23,"LW,ST,LM",France,84,90,Right,3,3,4,Medium/ Medium,Normal,,,76,84,69,78,74,88,84,54,60,87,88,89,85,82,81,84,74,76,75,80,58,42,83,74,81,82,34,39,36,9,8,8,15,11,#Dribbler,"Beat Offside Trap,Finesse Shot,Flair,Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",82+3,82+3,82+3,83+3,83+3,83+3,83+3,83+3,81+3,81+3,81+3,81+3,74+3,74+3,74+3,81+3,64+3,60+3,60+3,60+3,64+3,61+3,54+3,54+3,54+3,61+3,29
Timo Werner,23,ST,Germany,84,87,Right,3,4,3,High/ Medium,Normal,Germany,RW,69,87,77,77,85,83,63,56,55,84,93,93,81,86,76,78,78,83,64,70,63,37,85,61,72,74,39,20,19,9,9,8,15,9,#Speedster,"Diver,Beat Offside Trap,Speed Dribbler (CPU AI Only)",82+3,82+3,82+3,81+3,81+3,81+3,81+3,81+3,78+3,78+3,78+3,80+3,70+3,70+3,70+3,80+3,61+3,55+3,55+3,55+3,61+3,57+3,49+3,49+3,49+3,57+3,29
Niklas Süle,23,CB,Germany,84,90,Right,2,3,2,Medium/ Medium,Stocky,Germany,CB,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,30,32,72,83,85,83,15,7,14,7,15,"#Aerial Threat,#Strength",Dives Into Tackles (CPU AI Only),56+2,56+2,56+2,49+2,52+2,52+2,52+2,49+2,52+2,52+2,52+2,52+2,60+2,60+2,60+2,52+2,69+2,75+2,75+2,75+2,69+2,73+2,81+2,81+2,81+2,73+2,29
Bruno Miguel Borges Fernandes,24,"CAM,CM",Portugal,84,88,Right,2,3,4,High/ High,Lean,Sporting CP,LCM,84,74,58,85,84,83,86,85,84,86,79,76,77,84,78,87,72,91,67,88,66,71,81,86,82,84,66,66,57,12,14,15,8,14,"#Engine,#Distance Shooter","Injury Free,Flair,Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,77+2,76+2,76+2,76+2,77+2,74+2,68+2,68+2,68+2,74+2,30
Alex Nicolao Telles,26,LB,Brazil,84,86,Left,3,2,3,High/ Medium,Lean,,,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,73,80,80,81,79,13,8,12,11,14,#Crosser,"Injury Free,Avoids Using Weaker Foot,Flair,Speed Dribbler (CPU AI Only),Set Play Specialist,Takes Finesse Free Kicks",76+3,76+3,76+3,79+3,78+3,78+3,78+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,83+3,81+3,81+3,81+3,83+3,82+3,78+3,78+3,78+3,82+3,32
José María Giménez de Vargas,24,CB,Uruguay,84,88,Right,2,3,2,Medium/ High,Normal,Uruguay,LCB,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,90,67,85,48,89,85,24,27,38,73,88,86,87,9,11,7,10,15,#Tackling ,Dives Into Tackles (CPU AI Only),56+2,56+2,56+2,51+2,51+2,51+2,51+2,51+2,50+2,50+2,50+2,53+2,56+2,56+2,56+2,53+2,71+2,73+2,73+2,73+2,71+2,74+2,83+2,83+2,83+2,74+2,30
Nabil Fekir,25,CAM,France,84,88,Left,3,3,4,High/ Medium,Stocky,,,83,82,49,83,77,90,81,79,75,89,79,79,84,80,91,84,69,77,82,82,73,28,81,81,76,89,31,37,25,15,9,8,14,15,#Dribbler,"Flair,Chip Shot (CPU AI Only),Technical Dribbler (CPU AI Only),Backs Into Player",79+3,79+3,79+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,62+3,60+3,60+3,60+3,62+3,56+3,50+3,50+3,50+3,56+3,31
Davinson Sánchez,22,CB,Colombia,84,88,Right,2,3,2,Medium/ High,Lean,Colombia,RCB,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88,9,7,10,6,15,,,61+2,61+2,61+2,59+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,62+2,66+2,66+2,66+2,62+2,74+2,78+2,78+2,78+2,74+2,76+2,82+2,82+2,82+2,76+2,28
Marco Asensio Willemsen,23,"LW,RW",Spain,84,89,Left,3,3,4,High/ Medium,Normal,Spain,RW,82,80,57,83,79,85,83,76,81,85,85,82,79,82,76,86,58,76,61,88,45,45,82,82,62,83,40,42,39,13,9,6,12,10,#Distance Shooter,"Long Shot Taker (CPU AI Only),Takes Finesse Free Kicks",79+3,79+3,79+3,83+3,82+3,82+3,82+3,83+3,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,66+3,63+3,63+3,63+3,66+3,62+3,52+3,52+3,52+3,62+3,29
Ousmane Dembélé,21,"RW,LW",France,84,92,Left,3,5,4,High/ Low,Lean,France,SUB,81,78,43,79,76,91,82,64,70,83,94,93,90,82,85,83,59,76,52,76,54,36,79,84,75,82,42,30,33,6,6,14,10,13,"#Speedster,#Dribbler,#Acrobat","Injury Prone,Flair,Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",76+3,76+3,76+3,84+3,82+3,82+3,82+3,84+3,82+3,82+3,82+3,83+3,75+3,75+3,75+3,83+3,64+3,58+3,58+3,58+3,64+3,59+3,47+3,47+3,47+3,59+3,27
Luiz Frello Filho Jorge,27,CM,Italy,83,84,Right,2,3,3,Medium/ Medium,Lean,Italy,CM,75,57,56,89,71,82,75,76,87,85,70,61,77,82,73,71,58,79,66,62,79,76,68,87,84,79,62,77,70,14,7,13,14,8,#Playmaker  ,Playmaker (CPU AI Only),69+2,69+2,69+2,75+2,75+2,75+2,75+2,75+2,79+2,79+2,79+2,78+2,82+2,82+2,82+2,78+2,76+2,79+2,79+2,79+2,76+2,74+2,71+2,71+2,71+2,74+2,33
Serge Gnabry,23,"LM,RM,CAM,LW",Germany,83,87,Right,2,4,4,High/ Medium,Normal,Germany,ST,74,81,46,79,83,87,64,62,68,83,92,90,86,81,88,85,64,68,68,81,63,38,80,74,68,74,45,48,45,14,10,10,9,7,"#Speedster,#Dribbler,#Acrobat","Injury Prone,Flair,Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",78+2,78+2,78+2,82+2,81+2,81+2,81+2,82+2,81+2,81+2,81+2,80+2,74+2,74+2,74+2,80+2,65+2,62+2,62+2,62+2,65+2,62+2,54+2,54+2,54+2,62+2,29
Mateo Kovačić,24,CM,Croatia,83,89,Right,3,4,4,High/ High,Normal,,,73,62,42,87,76,88,78,68,82,89,84,74,85,74,85,79,63,82,65,75,77,76,71,88,59,81,69,74,63,9,5,6,7,7,"#Dribbler,#Playmaker  ,#Complete Midfielder","Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",71+3,71+3,71+3,79+3,78+3,78+3,78+3,79+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,80+3,76+3,78+3,78+3,78+3,76+3,74+3,69+3,69+3,69+3,74+3,30
William Silva de Carvalho,26,"CDM,CM",Portugal,83,86,Right,3,4,3,Medium/ Medium,Normal,Portugal,CDM,68,52,73,81,50,78,79,50,84,80,62,67,51,75,51,70,69,85,92,59,78,81,64,81,60,89,82,83,67,6,6,5,14,14,#Strength,"Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only)",68+3,68+3,68+3,70+3,71+3,71+3,71+3,70+3,73+3,73+3,73+3,73+3,78+3,78+3,78+3,73+3,76+3,80+3,80+3,80+3,76+3,75+3,79+3,79+3,79+3,75+3,32
Felipe Augusto de Almeida Monteiro,29,CB,Brazil,83,84,Right,3,3,2,Medium/ High,Normal,,,45,39,81,74,44,57,32,30,67,62,60,67,52,77,57,46,90,78,86,41,92,81,34,50,47,75,85,85,79,9,11,14,9,7,#Strength,"Injury Free,Power Header",56+3,56+3,56+3,55+3,55+3,55+3,55+3,55+3,57+3,57+3,57+3,58+3,64+3,64+3,64+3,58+3,71+3,76+3,76+3,76+3,71+3,73+3,81+3,81+3,81+3,73+3,35
Yannick Ferreira Carrasco,25,LM,Belgium,83,86,Right,3,4,4,High/ Medium,Lean,Dalian YiFang FC,LM,78,79,53,77,68,88,81,78,71,87,89,87,88,83,71,84,68,74,59,75,61,18,81,71,74,75,58,39,26,9,11,9,10,10,#Acrobat,"Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only)",78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,80+3,80+3,80+3,81+3,73+3,73+3,73+3,81+3,62+3,58+3,58+3,58+3,62+3,58+3,50+3,50+3,50+3,58+3,31
Lucas Vázquez Iglesias,27,"RW,RM",Spain,83,83,Right,2,4,4,High/ High,Normal,,,83,72,56,83,58,82,82,71,75,82,86,82,86,85,84,80,68,90,57,76,72,62,82,83,56,75,62,62,61,9,16,9,9,7,"#Engine,#Acrobat",Beat Offside Trap,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,82+2,79+2,79+2,79+2,82+2,75+2,72+2,72+2,72+2,75+2,73+2,65+2,65+2,65+2,73+2,33
Quincy Anton Promes,27,"LM,ST,RM",Netherlands,83,83,Right,2,4,5,High/ Low,Lean,Netherlands,RM,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,74,78,36,30,32,10,13,6,7,13,"#Speedster,#Acrobat,#Clinical Finisher,#Complete Forward","Power Free-Kick,Selfish,Flair,Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only)",79+2,79+2,79+2,83+2,82+2,82+2,82+2,83+2,81+2,81+2,81+2,82+2,75+2,75+2,75+2,82+2,63+2,58+2,58+2,58+2,63+2,59+2,49+2,49+2,49+2,59+2,33
Leon Goretzka,24,"CM,CAM,CDM",Germany,83,88,Right,3,4,3,High/ High,Lean,Germany,SUB,75,73,80,84,68,81,76,75,79,83,84,79,76,84,70,78,74,86,72,80,80,82,79,82,60,80,72,76,74,13,8,15,11,9,#Engine,"Flair,Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only)",78+3,78+3,78+3,80+3,80+3,80+3,80+3,80+3,81+3,81+3,81+3,80+3,81+3,81+3,81+3,80+3,79+3,79+3,79+3,79+3,79+3,79+3,77+3,77+3,77+3,79+3,30
Adrien Rabiot,23,"CM,CDM",France,83,87,Left,2,3,3,High/ Medium,Lean,,,70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,80,67,84,70,81,75,9,12,9,7,15,,,77+2,77+2,77+2,77+2,78+2,78+2,78+2,77+2,79+2,79+2,79+2,78+2,81+2,81+2,81+2,78+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,77+2,29
Alessio Romagnoli,24,CB,Italy,83,90,Left,2,3,2,Medium/ High,Normal,,,36,30,77,72,28,65,36,24,71,70,63,69,60,78,53,64,78,75,81,46,85,86,31,45,34,76,88,86,82,9,14,12,8,9,,,56+2,56+2,56+2,56+2,57+2,57+2,57+2,56+2,58+2,58+2,58+2,59+2,65+2,65+2,65+2,59+2,72+2,77+2,77+2,77+2,72+2,74+2,82+2,82+2,82+2,74+2,30
João Pedro Cavaco Cancelo,24,RB,Portugal,83,89,Right,2,3,4,High/ Medium,Lean,Portugal,RB,86,58,64,79,62,85,83,69,75,84,91,91,78,83,74,80,73,90,66,66,73,77,78,74,46,77,79,79,79,6,9,15,14,14,"#Speedster,#Crosser",Technical Dribbler (CPU AI Only),74+2,74+2,74+2,80+2,78+2,78+2,78+2,80+2,78+2,78+2,78+2,81+2,78+2,78+2,78+2,81+2,82+2,78+2,78+2,78+2,82+2,81+2,75+2,75+2,75+2,81+2,30
Anderson Souza Conceição,25,CAM,Brazil,83,87,Left,2,4,4,High/ Low,Normal,,,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,67,58,86,81,71,74,55,62,42,13,11,13,12,10,#FK Specialist,"Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only),Takes Finesse Free Kicks",80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,80+2,79+2,79+2,79+2,80+2,69+2,69+2,69+2,69+2,69+2,67+2,64+2,64+2,64+2,67+2,31
Kingsley Coman,22,"LM,RM,LW,RW",France,83,88,Right,2,3,5,Medium/ Low,Lean,,,81,77,52,77,77,88,84,70,63,83,95,93,88,82,84,78,75,76,63,73,36,23,79,75,70,75,29,17,15,5,3,5,3,5,"#Speedster,#Dribbler,#Acrobat","Injury Prone,Speed Dribbler (CPU AI Only)",77+2,77+2,77+2,82+2,81+2,81+2,81+2,82+2,80+2,80+2,80+2,81+2,71+2,71+2,71+2,81+2,58+2,51+2,51+2,51+2,58+2,53+2,40+2,40+2,40+2,53+2,28
Thomas Lemar,23,"LM,CAM,RM",France,83,89,Left,3,2,4,Medium/ Medium,Lean,France,SUB,83,75,54,84,76,85,85,81,75,86,86,84,87,79,86,79,71,79,63,78,63,66,78,84,68,80,55,59,63,11,15,13,7,14,,"Finesse Shot,Technical Dribbler (CPU AI Only),Set Play Specialist,Takes Finesse Free Kicks",76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,79+3,79+3,79+3,82+3,74+3,71+3,71+3,71+3,74+3,71+3,64+3,64+3,64+3,71+3,29
Jonathan Tah,23,CB,Germany,82,87,Right,2,4,2,Medium/ Medium,Stocky,Germany,SUB,35,20,80,74,24,55,30,27,69,64,64,77,48,81,44,44,72,63,93,25,76,80,27,61,38,75,80,87,84,11,8,7,9,14,"#Aerial Threat,#Strength",,52+2,52+2,52+2,52+2,53+2,53+2,53+2,52+2,56+2,56+2,56+2,57+2,63+2,63+2,63+2,57+2,70+2,76+2,76+2,76+2,70+2,73+2,81+2,81+2,81+2,73+2,29
Matteo Politano,25,"RM,LM,ST",Italy,82,85,Left,2,4,4,High/ Medium,Normal,,,80,74,40,80,75,84,79,77,76,84,85,86,90,79,82,78,50,79,45,82,63,38,77,75,70,79,63,29,29,11,12,6,8,11,#Acrobat,"Avoids Using Weaker Foot,Finesse Shot,Long Shot Taker (CPU AI Only),Speed Dribbler (CPU AI Only)",73+2,73+2,73+2,81+2,79+2,79+2,79+2,81+2,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,64+2,61+2,61+2,61+2,64+2,60+2,49+2,49+2,49+2,60+2,31
